Nom_commune;Code_Commune;Nom_commune;Code_Canton;Nom_Canton;Code_Canton
nouâtre;37174;nouâtre;3720;STE MAURE DE TOURAINE;3720
NOUZILLY;37175;NOUZILLY;3706;CHATEAU RENAULT;3706
NOYANT DE TOURAINE;37176;NOYANT DE TOURAINE;3720;STE MAURE DE TOURAINE;3720
ORBIGNY;37177;ORBIGNY;3715;MONTRESOR;3715
PANZOULT;37178;PANZOULT;3710;L'ILE BOUCHARD;3710
parçay-meslay;37179;parçay-meslay;3724;VOUVRAY;3724
Parçay sur Vienne;37180;Parçay sur Vienne;3710;L'ILE BOUCHARD;3710
PAULMY;37181;PAULMY;3708;LE GRAND PRESSIGNY;3708
PERNAY;37182;PERNAY;3716;NEUILLE PONT PIERRE;3716
PERRUSSON;37183;PERRUSSON;3713;LOCHES;3713
LE PETIT PRESSIGNY;37184;LE PETIT PRESSIGNY;3708;LE GRAND PRESSIGNY;3708
pocé sur cisse;37185;pocé sur cisse;3701;AMBOISE;3701
PONT DE RUAN;37186;PONT DE RUAN;3714;MONTBAZON;3714
PORTS SUR VIENNE;37187;PORTS SUR VIENNE;3720;STE MAURE DE TOURAINE;3720
POUZAY;37188;POUZAY;3720;STE MAURE DE TOURAINE;3720
PREUILLY SUR CLAISE;37189;PREUILLY SUR CLAISE;3718;PREUILLY SUR CLAISE;3718
PUSSIGNY;37190;PUSSIGNY;3720;STE MAURE DE TOURAINE;3720
RAZINES;37191;RAZINES;3719;RICHELIEU;3719
REIGNAC SUR INDRE;37192;REIGNAC SUR INDRE;3713;LOCHES;3713
restigné;37193;restigné;3704;BOURGUEIL;3704
REUGNY;37194;REUGNY;3724;VOUVRAY;3724
LA RICHE;37195;LA RICHE;3731;BALLAN MIRE;3731
RICHELIEU;37196;RICHELIEU;3719;RICHELIEU;3719
rigny ussé;37197;rigny ussé;3702;AZAY LE RIDEAU;3702
rillé;37198;rillé;3705;CHATEAU LA VALLIERE;3705
RILLY SUR VIENNE;37199;RILLY SUR VIENNE;3710;L'ILE BOUCHARD;3710
RIVARENNES;37200;RIVARENNES;3702;AZAY LE RIDEAU;3702
rivière;37201;rivière;3707;CHINON;3707
LA ROCHE CLERMAULT;37202;LA ROCHE CLERMAULT;3707;CHINON;3707
ROCHECORBON;37203;ROCHECORBON;3724;VOUVRAY;3724
ROUZIERS DE TOURAINE;37204;ROUZIERS DE TOURAINE;3716;NEUILLE PONT PIERRE;3716
saché;37205;saché;3702;AZAY LE RIDEAU;3702
SAINT ANTOINE DU ROCHER;37206;SAINT ANTOINE DU ROCHER;3716;NEUILLE PONT PIERRE;3716
SAINT AUBIN LE DEPEINT;37207;SAINT AUBIN LE DEPEINT;3717;NEUVY LE ROI;3717
SAINT AVERTIN;37208;SAINT AVERTIN;3732;SAINT AVERTIN;3732
SAINT BAULD;37209;SAINT BAULD;3713;LOCHES;3713
SAINT BENOIT LA FORET;37210;SAINT BENOIT LA FORET;3702;AZAY LE RIDEAU;3702
SAINT BRANCHS;37211;SAINT BRANCHS;3734;CHAMBRAY LES TOURS;3734
SAINTE CATHERINE DE FIERBOIS;37212;SAINTE CATHERINE DE FIERBOIS;3720;STE MAURE DE TOURAINE;3720
SAINT CHRISTOPHE SUR LE NAIS;37213;SAINT CHRISTOPHE SUR LE NAIS;3717;NEUVY LE ROI;3717
SAINT CYR SUR LOIRE;37214;SAINT CYR SUR LOIRE;3729;SAINT CYR SUR LOIRE;3729
SAINT EPAIN;37216;SAINT EPAIN;3720;STE MAURE DE TOURAINE;3720
SAINT ETIENNE DE CHIGNY;37217;SAINT ETIENNE DE CHIGNY;3736;LUYNES;3736
SAINT FLOVIER;37218;SAINT FLOVIER;3708;LE GRAND PRESSIGNY;3708
SAINT GENOUPH;37219;SAINT GENOUPH;3731;BALLAN MIRE;3731
SAINT GERMAIN SUR VIENNE;37220;SAINT GERMAIN SUR VIENNE;3707;CHINON;3707
SAINT HIPPOLYTE;37221;SAINT HIPPOLYTE;3713;LOCHES;3713
SAINT JEAN SAINT GERMAIN;37222;SAINT JEAN SAINT GERMAIN;3713;LOCHES;3713
SAINT LAURENT DE LIN;37223;SAINT LAURENT DE LIN;3705;CHATEAU LA VALLIERE;3705
SAINT LAURENT EN GATINES;37224;SAINT LAURENT EN GATINES;3706;CHATEAU RENAULT;3706
SAINT MARTIN LE BEAU;37225;SAINT MARTIN LE BEAU;3703;BLERE;3703
SAINTE MAURE DE TOURAINE;37226;SAINTE MAURE DE TOURAINE;3720;SAINTE MAURE DE TOURAINE;3720
SAINT MICHEL SUR LOIRE;37227;SAINT MICHEL SUR LOIRE;3711;LANGEAIS;3711
SAINT NICOLAS DE BOURGUEIL;37228;SAINT NICOLAS DE BOURGUEIL;3704;BOURGUEIL;3704
SAINT NICOLAS DES MOTETS;37229;SAINT NICOLAS DES MOTETS;3706;CHATEAU RENAULT;3706
SAINT OUEN LES VIGNES;37230;SAINT OUEN LES VIGNES;3701;AMBOISE;3701
SAINT PATERNE RACAN;37231;SAINT PATERNE RACAN;3717;NEUVY LE ROI;3717
SAINT PATRICE;37232;SAINT PATRICE;3711;LANGEAIS;3711
SAINT PIERRE DES CORPS;37233;SAINT PIERRE DES CORPS;3730;SAINT PIERRE DES CORPS;3730
SAINT QUENTIN SUR INDROIS;37234;SAINT QUENTIN SUR INDROIS;3713;LOCHES;3713
saint règle;37236;saint règle;3701;AMBOISE;3701
SAINT ROCH;37237;SAINT ROCH;3716;NEUILLE PONT PIERRE;3716
SAINT SENOCH;37238;SAINT SENOCH;3712;LIGUEIL;3712
SAUNAY;37240;SAUNAY;3706;CHATEAU RENAULT;3706
savigné sur lathan;37241;savigné sur lathan;3705;CHATEAU LA VALLIERE;3705
SAVIGNY EN VERON;37242;SAVIGNY EN VERON;3707;CHINON;3707
savonnières;37243;savonnières;3731;BALLAN MIRE;3731
SAZILLY;37244;SAZILLY;3710;L'ILE BOUCHARD;3710
semblançay;37245;semblançay;3716;NEUILLE PONT PIERRE;3716
sennevières;37246;sennevières;3713;LOCHES;3713
SEPMES;37247;SEPMES;3709;DESCARTES;3709
SEUILLY;37248;SEUILLY;3707;CHINON;3707
